Keyword,Currency,Avg monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
back shoulder workout,INR,5000,0%,0%,Low,0,,
lady fitness,INR,500,0%,0%,Low,1,4.27,58.04
bicep and tricep workouts,INR,5000,0%,0%,Low,1,1.25,56.74
elliptical cross trainer,INR,5000,0%,0%,High,100,1.56,44.86
workout for beginners,INR,5000,0%,0%,Low,6,2.64,50.97
work outs,INR,500,0%,0%,Low,0,,
infinity fitness,INR,500,0%,0%,Low,4,,
18 gym,INR,50,0%,0%,Low,0,,
r fitness,INR,500,0%,0%,Low,3,53.45,75.33
best workouts to lose belly fat,INR,500,0%,0%,Low,9,1.5,41.29
movement gym,INR,50,0%,0%,Low,0,,
cultfit near me,INR,50000,0%,0%,Low,13,27.23,186.93
local gyms near me,INR,500,0%,0%,Low,9,9.96,54.88
athletic fitness,INR,500,0%,0%,Low,14,,
core workout gym,INR,5000,0%,900%,Low,3,13.16,98.02
phoenix fitness,INR,500,900%,900%,Low,3,6.62,142.92
total gym price,INR,50,0%,0%,High,100,1.32,10.61
circuit workout,INR,500,0%,0%,Low,2,,
stomach workouts,INR,500,0%,0%,Low,7,0.82,13.98
stretch band,INR,5000,0%,0%,High,100,1.02,14.33
workout plans for women,INR,500,0%,0%,Low,10,1.78,49.73
health fitness,INR,5000,0%,0%,Low,5,6.29,76.48
elliptical workout,INR,500,0%,0%,Low,5,3.77,60.27
gym cycle price,INR,5000,0%,0%,High,100,1.06,14.68
crossfit women,INR,500,0%,0%,Low,1,,
gfit,INR,500,0%,0%,Low,0,,
arm workout gym,INR,5000,0%,0%,Low,7,13.43,72.36
fitness room,INR,5000,0%,0%,Low,0,,
ladyfit,INR,5000,0%,0%,Low,1,7.02,52.47
fitness body,INR,5000,0%,0%,Low,2,6.98,19.28
aerobic stepper,INR,5000,0%,0%,High,99,1.71,19.91
360 fitness,INR,500,0%,0%,Low,7,6,81.88
extreme gym,INR,500,0%,0%,Low,0,,
high intensity workout,INR,5000,0%,0%,Low,3,2.92,28.96
life fitness elliptical,INR,50,0%,0%,High,95,2.86,25.02
hiit workouts for women,INR,500,0%,0%,Low,4,7.4,78.69
fitness point,INR,500,900%,900%,Low,1,13.45,38.73
body workout,INR,5000,0%,0%,Low,3,1.64,21.64
jungkook workout,INR,500,900%,0%,Low,0,,
domyos decathlon,INR,500,0%,0%,High,95,1,42.07
local fitness,INR,50,0%,0%,Low,0,,
fitness studio near me,INR,5000,0%,0%,Low,12,13.16,91.93
gym near by me,INR,5000,0%,0%,Low,8,5.55,52.66
metcon workout,INR,500,0%,0%,Low,1,,
fitness exercise,INR,5000,0%,0%,Low,4,1.77,34.98
personal training courses,INR,5000,0%,0%,Medium,44,11.84,36.18
bicep tricep workout,INR,5000,0%,0%,Low,1,9.87,44.4
exercise stepper,INR,5000,0%,0%,High,98,1.6,13.94
fusion fitness,INR,500,0%,0%,Low,1,24.51,87.17
life gym,INR,500,0%,0%,Low,0,,
rock fitness,INR,500,0%,0%,Low,5,,
